date,open,high,low,close,volume
2023-01-03,268.6499938964844,270.1499938964844,262.1300048828125,264.4800109863281,42335300
2023-01-04,266.6400146484375,267.45001220703125,262.5299987792969,265.739990234375,47754900
2023-01-05,264.0400085449219,264.2099914550781,261.260009765625,261.5799865722656,45396700
2023-01-06,263.3500061035156,269.94000244140625,260.3399963378906,268.79998779296875,54659700
2023-01-09,270.8299865722656,275.2900085449219,269.9200134277344,270.5400085449219,45568700
2023-01-10,269.489990234375,272.94000244140625,268.9700012207031,272.8299865722656,35247800
2023-01-11,273.9200134277344,277.6600036621094,273.1199951171875,277.54998779296875,44077000
2023-01-12,278.1199951171875,280.1000061035156,273.739990234375,279.04998779296875,60600000
2023-01-13,276.5,281.2200012207031,276.1600036621094,280.9700012207031,44802900
2023-01-17,280.7699890136719,282.8500061035156,279.5799865722656,281.5400085449219,36269700
2023-01-18,283.1099853515625,284.69000244140625,277.6700134277344,277.8800048828125,47754500
2023-01-19,276.2200012207031,277.3800048828125,273.8900146484375,275.1499938964844,44150400
2023-01-20,276.7900085449219,283.0199890136719,275.7099914550781,282.67999267578125,60613600
2023-01-23,283.5400085449219,290.2099914550781,282.7300109863281,288.9599914550781,52799900
2023-01-24,287.30999755859375,289.54998779296875,286.7799987792969,288.3699951171875,44875100
2023-01-25,283.7699890136719,288.3599853515625,281.17999267578125,287.7300109863281,50872000
2023-01-26,291.2200012207031,293.5199890136719,288.5199890136719,293.3399963378906,51596300
2023-01-27,292.0,298.260009765625,291.8800048828125,296.260009765625,56441900
2023-01-30,292.92999267578125,294.3800048828125,289.8900146484375,290.2699890136719,49405800
2023-01-31,290.30999755859375,294.7200012207031,290.20001220703125,294.6199951171875,46705100
2023-02-01,294.4100036621094,303.42999267578125,292.29998779296875,300.9200134277344,67562200
2023-02-02,307.57000732421875,313.67999267578125,306.7300109863281,311.7200012207031,83070600
2023-02-03,304.94000244140625,312.3900146484375,304.5400085449219,306.17999267578125,76170800
2023-02-06,303.510009765625,305.9100036621094,302.2200012207031,303.5899963378906,40802300
2023-02-07,303.4599914550781,311.0299987792969,302.32000732421875,309.8800048828125,67584000
2023-02-08,308.5400085449219,309.5,303.6700134277344,304.3699951171875,56720900
2023-02-09,308.8399963378906,308.989990234375,300.20001220703125,301.67999267578125,49137800
2023-02-10,299.4800109863281,301.57000732421875,297.25,299.70001220703125,50050100
2023-02-13,301.1300048828125,305.1000061035156,299.92999267578125,304.5,39636700
2023-02-14,302.8900146484375,307.7200012207031,300.9100036621094,306.75,64079100
2023-02-15,304.8999938964844,309.2699890136719,304.20001220703125,309.1000061035156,43100600
2023-02-16,304.3800048828125,308.42999267578125,303.1499938964844,303.29998779296875,59498600
2023-02-17,301.07000732421875,301.92999267578125,298.1000061035156,301.1600036621094,58230700
2023-02-21,297.260009765625,298.7300109863281,293.8900146484375,294.0299987792969,46526700
2023-02-22,294.6199951171875,296.3599853515625,292.55999755859375,294.25,51389200
2023-02-23,297.9700012207031,298.1300048828125,292.54998779296875,296.82000732421875,69294400
2023-02-24,291.760009765625,292.9700012207031,290.04998779296875,291.8500061035156,74332000
2023-02-27,295.07000732421875,296.489990234375,293.3399963378906,293.94000244140625,48995000
2023-02-28,293.29998779296875,296.1199951171875,292.9599914550781,293.55999755859375,48243100
2023-03-01,293.260009765625,293.92999267578125,290.20001220703125,291.20001220703125,58287000
2023-03-02,288.6600036621094,294.42999267578125,288.3699951171875,293.6099853515625,53565900
