date,open,high,low,close,volume,daily_return,ma20,ma60,rsi,macd,macd_signal,volatility_20d,return_20d,signal,position,trade,strategy_return,benchmark_return,strategy_curve,benchmark_curve
2020-03-30,187.05999755859372,192.4900054931641,186.33999633789065,192.0399932861328,49356900,0.036373395161209965,189.59650115966798,211.9713333129883,45.32133733263113,-7.920450522746876,-9.905706979288036,0.9126017067941087,-0.11265134963997447,0,0.0,0.0,0.0,0.036373395161209965,1.0,1.03637339516121
2020-03-31,191.72000122070312,195.25,189.1999969482422,190.3999938964844,62659300,-0.008539884643741225,188.64250106811522,211.575,48.02036712362009,-7.000261587792551,-9.324617900988939,0.9069351783307043,-0.09108269152282733,0,0.0,0.0,-0.0,-0.008539884643741225,1.0,1.027522885918691
2020-04-01,184.7700042724609,187.66000366210935,180.8600006103516,182.30999755859372,53715400,-0.04248947792660651,186.84700088500978,211.02083333333334,52.229068740252785,-6.844896613425988,-8.828673643476348,0.9008600186795082,-0.1645587180883148,0,0.0,0.0,-0.0,-0.04248947792660651,1.0,0.9838639749383656
2020-04-02,181.2400054931641,190.1000061035156,180.97000122070312,186.00999450683597,56465300,0.020295085282161063,185.56800079345703,210.52883326212566,46.85418664508606,-6.35001094688667,-8.332941104158412,0.9016765328100655,-0.12089419289088543,0,0.0,0.0,0.0,0.020295085282161063,1.0,1.0038315782157858
2020-04-03,185.5500030517578,187.07000732421875,181.2899932861328,183.3699951171875,47487600,-0.014192782471973309,184.33550033569335,209.9658332824707,58.77072783579012,-6.100513456357589,-7.886455574598248,0.901253611327849,-0.1184982629025777,0,0.0,0.0,-0.0,-0.014192782471973309,1.0,0.9895844149876716
2020-04-06,190.47999572753903,197.6499938964844,189.19000244140625,196.47999572753903,64763500,0.07149479718300289,184.4809997558594,209.5906664530436,58.90904899082991,-4.789704679118955,-7.267105395502389,0.9058650423189244,0.01503326080081302,0,0.0,0.0,0.0,0.07149479718300289,1.0,1.0603345520326757
2020-04-07,202.3699951171875,202.66000366210935,196.0,196.3999938964844,69904500,-0.00040717545192525684,184.09549942016602,209.223499806722,63.19648010335793,-3.7145161287269843,-6.556587542147308,0.8846675383385421,-0.03777378222924843,0,0.0,0.0,-0.0,-0.00040717545192525684,1.0,1.0599028098322598
2020-04-08,198.1499938964844,201.1699981689453,196.1699981689453,200.57000732421875,45940400,0.02123224825522252,184.3629997253418,208.8838333129883,64.66146882053994,-2.497150624882977,-5.744700158694442,0.8725908504467836,0.027405010091497983,0,0.0,0.0,0.0,0.02123224825522252,1.0,1.0824069294170262
2020-04-09,202.3500061035156,203.22000122070312,199.02999877929688,200.8600006103516,68252600,0.0014458457174211237,185.53999938964844,208.5634999593099,71.10272890331399,-1.4917833084489018,-4.894116788645334,0.7982779433879837,0.13275429908533343,0,0.0,0.0,0.0,0.0014458457174211237,1.0,1.0839719228404308
2020-04-13,200.0,203.4199981689453,198.75,203.02999877929688,42853900,0.010803535608639558,186.07449951171876,208.27783330281576,72.18967562324767,-0.5139967159029197,-4.018092774096852,0.7447428521837175,0.05557867653603732,0,0.0,0.0,0.0,0.010803535608639558,1.0,1.0956826521076029
2020-04-14,207.22999572753903,212.5,206.4199981689453,211.8600006103516,63959600,0.04349111896835178,188.20249938964844,208.10416666666666,70.42886675702859,0.9623205236505896,-3.0220101145473635,0.5961639473168896,0.2513880495653771,0,0.0,0.0,0.0,0.04349111896835178,1.0,1.1433351166819739
2020-04-15,208.47999572753903,211.8300018310547,207.1199951171875,209.42999267578125,47036000,-0.011469875991549583,189.56699905395507,207.87166646321614,69.35368593794115,1.9141659271110996,-2.034774906215671,0.5508614470071108,0.1498297648928386,0,0.0,0.0,-0.0,-0.011469875991549583,1.0,1.1302212046768478
