date,open,high,low,close,volume,daily_return,ma20,ma60,rsi,macd,macd_signal,volatility_20d,return_20d,signal,position,trade,strategy_return,benchmark_return,strategy_curve,benchmark_curve
2020-03-30,255.6999969482422,262.42999267578125,253.52999877929688,261.6499938964844,171369500,0.03247571536186511,262.92899856567385,305.48916854858396,42.92060766559701,-15.913516781301496,-18.78315023056104,0.9281954743548657,-0.15348281407834963,0,0.0,0.0,0.0,0.03247571536186511,1.0,1.032475715361865
2020-03-31,260.5599975585937,263.3299865722656,256.2200012207031,257.75,194881100,-0.01490538500844496,260.80449905395506,304.41150182088217,45.3580054184862,-14.47203524939269,-17.920927234327372,0.9251596383000477,-0.14152008931657045,0,0.0,0.0,-0.0,-0.01490538500844496,1.0,1.017086267312527
2020-04-01,247.97999572753903,257.6600036621094,243.8999938964844,246.1499938964844,189554600,-0.045004873340506735,257.4689994812012,303.1200014750163,49.403382924854704,-14.103102510435264,-17.15736228954895,0.9168068883516037,-0.21322634590075717,0,0.0,0.0,-0.0,-0.045004873340506735,1.0,0.9713124286757578
2020-04-02,245.19000244140625,252.67999267578125,244.58999633789065,251.8300018310547,177660400,0.023075393359379692,254.9375,301.9383346557617,44.120217035281314,-13.200227480740097,-16.365935327787177,0.9199257615224461,-0.16739400599878373,0,0.0,0.0,0.0,0.023075393359379692,1.0,0.9937258450423054
2020-04-03,250.75999450683597,253.32000732421875,245.22000122070312,248.19000244140625,135561200,-0.014454192761712337,252.4740005493164,300.6673344930013,53.39300027711644,-12.632787138349897,-15.619305689899722,0.9196851368719381,-0.16563568355078284,0,0.0,0.0,-0.0,-0.014454192761712337,1.0,0.9793623401257685
2020-04-06,257.8399963378906,267.0,248.1699981689453,264.8599853515625,188061200,0.06716621437679282,252.00549926757813,299.6375010172526,54.76227346056702,-10.71444877881973,-14.638334307683724,0.9161387890074267,-0.034168490899534554,0,0.0,0.0,0.0,0.06716621437679282,1.0,1.0451424010152133
2020-04-07,274.2099914550781,275.0299987792969,264.8900146484375,265.1300048828125,201427200,0.0010194802770664424,250.84099884033202,298.6278345743815,61.01323471272718,-9.067835129642845,-13.524234472075548,0.8954958120090492,-0.08075032057634013,0,0.0,0.0,0.0,0.0010194802770664424,1.0,1.0462079030797742
2020-04-08,267.9599914550781,276.0,265.25,274.0299987792969,153774500,0.03356841448563386,250.82449951171876,297.7291676839193,63.683865565711876,-6.964445035216158,-12.212276584703671,0.8869589719953729,-0.001202750364061922,0,0.0,0.0,0.0,0.03356841448563386,1.0,1.0813274436085019
2020-04-09,277.5799865722656,281.20001220703125,275.4700012207031,278.20001220703125,189999200,0.015217361041894195,252.32900009155273,296.90833435058596,71.48946773611786,-4.904472294233926,-10.750715726609723,0.8099221582412272,0.12127689945047804,0,0.0,0.0,0.0,0.015217361041894195,1.0,1.097782393722401
2020-04-13,277.1400146484375,277.510009765625,271.4100036621094,275.6600036621094,114839100,-0.009130152528647795,252.64599990844727,296.03283437093097,73.60923711967011,-3.4372638791649024,-9.288025357120759,0.7561340207321983,0.02354075510720688,0,0.0,0.0,-0.0,-0.009130152528647795,1.0,1.0877594730244513
2020-04-14,280.9800109863281,284.8999938964844,275.510009765625,283.7900085449219,134143400,0.029492870836560936,254.84300003051757,295.2473342895508,70.40979847865856,-1.6000231202492614,-7.75042490974646,0.6351203129785215,0.18319783749533225,0,0.0,0.0,0.0,0.029492870836560936,1.0,1.119840622663607
