date,open,high,low,close,volume,daily_return,ma20,ma60,rsi,macd,macd_signal,volatility_20d,return_20d,signal,position,trade,strategy_return,benchmark_return,strategy_curve,benchmark_curve
2020-03-30,152.44000244140625,160.60000610351562,150.00999450683594,160.22999572753906,63420300,0.0703406746423485,151.2845001220703,164.62516606648762,49.73726215310702,-4.39645552232858,-6.35765940873459,1.1314469438549006,-0.07268938044227446,0,0.0,0.0,0.0,0.0703406746423485,1.0,1.0703406746423485
2020-03-31,159.39999389648438,164.77999877929688,156.55999755859375,157.7100067138672,77927200,-0.015727323727555698,150.9445007324219,164.60999959309896,51.61213848569064,-3.487815615612618,-5.783690650110196,1.1195814709285563,-0.04133480043783111,0,0.0,0.0,-0.0,-0.015727323727555698,1.0,1.0535070803534778
2020-04-01,153.0,157.75,150.82000732421875,152.11000061035156,57969900,-0.03550824846311562,150.02250061035156,164.4946662902832,55.549883966027046,-3.1828951999120534,-5.263531560070567,1.1177407991830701,-0.10812079807357233,0,0.0,0.0,-0.0,-0.03550824846311562,1.0,1.016098889186635
2020-04-02,151.86000061035156,155.47999572753906,150.36000061035156,155.25999450683594,49630700,0.020708657444249656,149.4720001220703,164.45599950154622,48.23179504046487,-2.6564435639608632,-4.742113960848627,1.1177480238161346,-0.06621765491497356,0,0.0,0.0,0.0,0.020708657444249656,1.0,1.0371409330122836
2020-04-03,155.10000610351562,157.3800048828125,152.19000244140625,153.8300018310547,41243300,-0.00921030997278749,149.08499984741212,164.35166625976564,61.65632282073974,-2.3277820847000896,-4.25924758561892,1.1136353776304786,-0.04790496467350136,0,0.0,0.0,-0.0,-0.00921030997278749,1.0,1.0275885435337744
2020-04-06,160.32000732421875,166.5,157.5800018310547,165.27000427246094,67111700,0.07436782360550409,149.81750030517577,164.40466639200847,61.79661307353999,-1.1311635562245783,-3.6336307797400518,1.1133861254435036,0.09726470342715943,0,0.0,0.0,0.0,0.07436782360550409,1.0,1.104008067078331
2020-04-07,169.58999633789062,170.0,163.25999450683594,163.49000549316406,62769000,-0.010770247070136185,149.9460006713867,164.44049987792968,65.42006704735849,-0.3227453689443962,-2.971453697580921,1.0907258898754757,0.015970714351615678,0,0.0,0.0,-0.0,-0.010770247070136185,1.0,1.0921176274284738
2020-04-08,165.6699981689453,166.6699981689453,163.5,165.1300048828125,48318200,0.010031190498167808,150.52100067138673,164.4713333129883,65.10781609909247,0.4451348757507674,-2.288135982914583,1.0757809048006088,0.07485516913686285,0,0.0,0.0,0.0,0.010031190498167808,1.0,1.1030728673956158
2020-04-09,166.36000061035156,167.3699951171875,163.3300018310547,165.13999938964844,51385100,6.052508048459693e-05,151.82500076293945,164.52149988810223,70.18155191102784,1.0424749725586366,-1.622013791819939,1.0086727276910172,0.18754496108822183,0,0.0,0.0,0.0,6.052508048459693e-05,1.0,1.1031396309696953
2020-04-13,164.35000610351562,165.57000732421875,162.3000030517578,165.50999450683594,41905300,0.002240493633008267,152.15900039672852,164.56033325195312,71.76124495571463,1.5281116962429167,-0.9919886942073681,0.8806789999693813,0.04205749920526136,0,0.0,0.0,0.0,0.002240493633008267,1.0,1.105611208289202
2020-04-14,169.0,173.75,168.0,173.6999969482422,52874300,0.04948343129253141,154.07300033569337,164.6858332316081,69.91206784221046,2.5445154586006424,-0.28468786364576604,0.6896890428960951,0.2826761135496403,0,0.0,0.0,0.0,0.04948343129253141,1.0,1.1603206445508334
2020-04-15,171.1999969482422,173.57000732421875,169.24000549316406,171.8800048828125,40940800,-0.010477789852650354,155.33850021362304,164.7654998779297,69.47566938799322,3.1666613132500743,0.40558197173340205,0.6438084053734187,0.1726819696652333,0,0.0,0.0,-0.0,-0.010477789852650354,1.0,1.1481630486755379
2020-04-16,174.3000030517578,177.27999877929688,172.89999389648438,177.0399932861328,50479600,0.030020876522771633,157.17050018310547,164.94116643269857,67.42715034733145,4.02963322227734,1.1303922218421896,0.6186557095665308,0.26096866796634455,0,0.0,0.0,0.0,0.030020876522771633,1.0,1.1826319097878353
2020-04-17,179.5,180.0,175.8699951171875,178.60000610351562,52765600,0.008811640739623705,158.9650001525879,165.15616658528646,76.17756044432957,4.784274535610933,1.8611686845959383,0.6185805513190149,0.2514890175964164,0,0.0,0.0,0.0,0.008811640739623705,1.0,1.1930528373041007
2020-04-20,176.6300048828125,178.75,174.99000549316406,175.05999755859375,36669600,-0.019820875833957752,160.8504997253418,165.2951665242513,65.38063591928949,5.038602238649361,2.496655395406623,0.6027405248436546,0.27455398456012814,0,0.0,0.0,-0.0,-0.019820875833957752,1.0,1.169405485152545
2020-04-21,173.5,173.6699981689453,166.11000061035156,167.82000732421875,56203700,-0.04135719373554614,162.44250030517577,165.34150009155275,59.550354169531474,4.602892787989759,2.9179028739232504,0.6282693266204344,0.23415217382766373,0,0.0,0.0,-0.0,-0.04135719373554614,1.0,1.1210421559476809
2020-04-22,171.38999938964844,174.0,170.82000732421875,173.52000427246094,34620200,0.033964942792727326,163.7015007019043,165.5288335164388,70.18670231560823,4.663770977355654,3.2670764946097313,0.5615677104981927,0.16974523767153804,0,0.0,0.0,0.0,0.033964942792727326,1.0,1.1591182886426796
2020-04-23,174.11000061035156,175.05999755859375,170.91000366210938,171.4199981689453,32790800,-0.012102386190690706,164.9265007019043,165.62816670735677,65.54444953266639,4.490797322847811,3.5118206602573476,0.5627153925098464,0.16675742108182656,0,0.0,0.0,-0.0,-0.012102386190690706,1.0,1.1450901914728335
2020-04-24,172.05999755859375,174.55999755859375,170.7100067138672,174.5500030517578,34277600,0.01825927497518509,165.8485008239746,165.73666687011718,69.29955667640334,4.553786475092011,3.72021382322428,0.5269339958041633,0.1181218523432861,0,0.0,0.0,0.0,0.01825927497518509,1.0,1.1659987081503234
2020-04-27,176.58999633789062,176.89999389648438,173.3000030517578,174.0500030517578,33194400,-0.0028645086866697644,167.06600112915038,165.75783360799153,60.27140943546038,4.511355908045829,3.87844224018859,0.4982426514159539,0.16265869472218153,0,0.0,0.0,-0.0,-0.0028645086866697644,1.0,1.162658694722181
2020-04-28,175.58999633789062,175.6699981689453,169.38999938964844,169.80999755859375,34392700,-0.024360846991213214,167.5450012207031,165.7508336385091,56.99114213731764,4.088467066511697,3.920447205453212,0.45243672747183733,0.05978906625788638,0,0.0,0.0,-0.0,-0.024360846991213214,1.0,1.1343353441570503
2020-04-29,173.22000122070312,177.67999267578125,171.8800048828125,177.42999267578125,51286600,0.04487365424146006,168.53100051879883,165.80166676839193,62.01640245524028,4.318414541136548,4.000040672589879,0.4694737157204762,0.1250395353650069,0,0.0,0.0,0.0,0.04487365424146006,1.0,1.1852371161846214
2020-04-30,180.0,180.3999938964844,176.22999572753906,179.2100067138672,53875900,0.010032204878340778,169.8860008239746,165.78650029500326,63.28612283336773,4.5913555394946,4.1183036459708235,0.4427310228060488,0.17816058112402233,0,0.0,0.0,0.0,0.010032204878340778,1.0,1.1971276577635992
2020-05-01,175.8000030517578,178.63999938964844,174.00999450683594,174.57000732421875,39370500,-0.025891407933803734,170.85150146484375,165.6976671854655,57.916821223417465,4.382732660521185,4.171189448880896,0.456506162016968,0.12437210808050492,0,0.0,0.0,-0.0,-0.025891407933803734,1.0,1.166132337227603
2020-05-04,174.49000549316406,179.0,173.8000030517578,178.83999633789062,30372900,0.02446003800493335,172.10200119018555,165.6178337097168,54.821762753612944,4.509961919846091,4.238943943073935,0.4570131797593185,0.16258203347292044,0,0.0,0.0,0.0,0.02446003800493335,1.0,1.1946559785149717
2020-05-05,180.6199951171875,183.6499938964844,179.89999389648438,180.75999450683597,36839200,0.010735843258002475,172.8765007019043,165.56566696166993,58.31459560072616,4.711409633137947,4.333437081086738,0.38440525485558236,0.09372535749946809,0,0.0,0.0,0.0,0.010735843258002475,1.0,1.207481617847544
2020-05-06,182.0800018310547,184.1999969482422,181.6300048828125,182.5399932861328,32139300,0.009847304898150666,173.82900009155273,165.4630002339681,55.497798732929205,4.957541964884427,4.458258057846276,0.3802976677378059,0.11652080954737798,0,0.0,0.0,0.0,0.009847304898150666,1.0,1.219372057497401
2020-05-07,184.1699981689453,184.5500030517578,182.5800018310547,183.6000061035156,28316000,0.005807016853129898,174.75250015258788,165.44900029500326,55.04846327538774,5.178443908637917,4.602295228004604,0.37996938481308257,0.11185127278237927,0,0.0,0.0,0.0,0.005807016853129898,1.0,1.2264529715855241
2020-05-08,184.97999572753903,185.0,183.3600006103516,184.67999267578125,30877800,0.005882279609820573,175.72949981689453,165.44850006103516,60.22098981753003,5.378654401290589,4.757567062661802,0.3794080498498596,0.11832380621504135,0,0.0,0.0,0.0,0.005882279609820573,1.0,1.2336673108926854
2020-05-11,183.1499938964844,187.50999450683597,182.8500061035156,186.7400054931641,30892700,0.0111544991286594,176.79100036621094,165.4990000406901,72.58833461036367,5.6385507738291665,4.933763804895275,0.3795941753561515,0.1282702657902106,0,0.0,0.0,0.0,0.0111544991286594,1.0,1.2474282518370934
2020-05-12,186.8000030517578,187.0399932861328,182.3000030517578,182.50999450683597,32038200,-0.022651873524138777,177.23150024414062,165.45166651407877,61.12346279441398,5.440479525212652,5.0351069489587506,0.3564672282722445,0.050719618384443166,0,0.0,0.0,-0.0,-0.022651873524138777,1.0,1.219171664846042
2020-05-13,182.5500030517578,184.0500030517578,176.5399932861328,179.75,44711500,-0.015122429400613369,177.625,165.3269999186198,60.14121895625778,5.003125229879885,5.028710605142978,0.3591187273585122,0.04578772919254481,0,0.0,0.0,-0.0,-0.015122429400613369,1.0,1.2007348274171794
2020-05-14,177.5399932861328,180.69000244140625,175.67999267578125,180.52999877929688,41873900,0.004339353431415116,177.79950027465821,165.2144999186198,57.72209863431531,4.665675183396388,4.9561035207936595,0.34426340071355505,0.01971309097105256,0,0.0,0.0,0.0,0.004339353431415116,1.0,1.2059452402107518
2020-05-15,179.05999755859375,187.05999755859372,177.0,183.16000366210935,46610400,0.014568242954611232,178.0275001525879,165.19350001017253,61.15054571153541,4.557922115596398,4.8764672397542075,0.3465503842663416,0.025531900351396297,0,0.0,0.0,0.0,0.014568242954611232,1.0,1.2235137434600991
2020-05-18,185.75,186.1999969482422,183.9600067138672,184.91000366210935,35264500,0.009554487688416824,178.52000045776367,165.29883346557617,69.68196018873789,4.561159203609549,4.813405632525276,0.3381801613514475,0.05626645859068247,0,0.0,0.0,0.0,0.009554487688416824,1.0,1.2352037904585975
2020-05-19,185.02999877929688,186.6000061035156,183.4900054931641,183.6300048828125,26799100,-0.0069222797790639,179.31050033569335,165.51116689046225,59.68146225048417,4.409608196683223,4.732646145356865,0.29804192388408657,0.09420806142648841,0,0.0,0.0,-0.0,-0.0069222797790639,1.0,1.2266533642368829
2020-05-20,184.80999755859372,185.8500061035156,183.94000244140625,185.66000366210935,31261300,0.01105483159243148,179.9175003051758,165.80433349609376,59.99379624152476,4.4025569320930344,4.666628302704099,0.2786471041818786,0.06996311140349087,0,0.0,0.0,0.0,0.01105483159243148,1.0,1.2402138106008112
