date,open,high,low,close,volume,daily_return,ma20,ma60,rsi,macd,macd_signal,volatility_20d,return_20d,signal,position,trade,strategy_return,benchmark_return,strategy_curve,benchmark_curve
2020-03-30,34.017333984375,34.44333267211914,32.7486686706543,33.47533416748047,179971500,-0.02377714859552571,36.775366973876956,41.776999918619794,35.665092802248125,-3.5471412025607023,-3.8443782034347525,1.4660897125011207,-0.32474921323988504,0,0.0,0.0,-0.0,-0.02377714859552571,1.0,0.9762228514044743
2020-03-31,33.41666793823242,36.19733428955078,33.133331298828125,34.93333435058594,266572500,0.04355446239344318,36.037000274658205,41.866988817850746,39.19843135759675,-3.2270648357897898,-3.7209155299057604,1.4798903121600455,-0.29712546086603053,0,0.0,0.0,0.0,0.04355446239344318,1.0,1.0187417128735903
2020-04-01,33.599998474121094,34.26333236694336,31.67333221435547,32.104000091552734,200298000,-0.08099239055277141,35.14386692047119,41.900344371795654,41.754870745377126,-3.1652189641310144,-3.609776216750811,1.4970966677552926,-0.3574916658154217,0,0.0,0.0,-0.0,-0.08099239055277141,1.0,0.9362313861921331
2020-04-02,32.06866836547852,32.95066833496094,29.76000022888184,30.29800033569336,297876000,-0.05625466454987249,34.2436336517334,41.88413327534993,40.638396966781976,-3.2247617065850775,-3.5327733147176645,1.502493809313794,-0.37274682690775274,0,0.0,0.0,-0.0,-0.05625466454987249,1.0,0.8835640036208325
2020-04-03,33.96666717529297,34.36600112915039,31.22599983215332,32.000667572021484,338431500,0.05619734693587186,33.49873371124268,41.87065550486247,54.19790639884405,-3.0988372756202267,-3.4459861068981774,1.5250517666201355,-0.3176635917217576,0,0.0,0.0,0.0,0.05619734693587186,1.0,0.9332179564723604
2020-04-06,34.08000183105469,34.733333587646484,33.19733428955078,34.41600036621094,223527000,0.0754775752334993,33.19286708831787,41.90943330128987,59.83269371411951,-2.7721880281697437,-3.311226491152491,1.4861575399637548,-0.1509210329422327,0,0.0,0.0,0.0,0.0754775752334993,1.0,1.0036549849912555
2020-04-07,36.33333206176758,37.66666793823242,35.48933410644531,36.36333465576172,268797000,0.05658223700690801,32.859933853149414,41.98421109517415,73.159022526375,-2.32933146045184,-3.114847485012361,1.4834453112694665,-0.1547734833935821,0,0.0,0.0,0.0,0.05658223700690801,1.0,1.0604440292251953
2020-04-08,36.9466667175293,37.14733123779297,35.55533218383789,36.589332580566406,189840000,0.006214994497730331,32.57530040740967,42.01085554758708,68.10468582295145,-1.9377906517374228,-2.879436118357374,1.4830477985548787,-0.1346357483909425,0,0.0,0.0,0.0,0.006214994497730331,1.0,1.0670346830319808
2020-04-09,37.4726676940918,38.345333099365234,37.14066696166992,38.20000076293945,204750000,0.04402015748241661,32.616800498962405,42.04983336130778,70.27343314204292,-1.4804584747862535,-2.59964058964315,1.4289504872101897,0.022210378773827477,0,0.0,0.0,0.0,0.04402015748241661,1.0,1.114005717818249
2020-04-13,39.34400177001953,43.46666717529297,38.70199966430664,43.39666748046875,337131000,0.13603839302984921,32.96456718444824,42.19700005849202,75.19536614916818,-0.6907295555511013,-2.2178583828247405,1.4968815329868626,0.19086386226892693,0,0.0,0.0,0.0,0.13603839302984921,1.0,1.2655532654963073
